epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,340.778,0.38336,0.44123,0.31564,0.93402,0.90149,0.86957,0.88535,0.7582,0.90149,0.86957,0.88535,0.7783,0.57378,1.42111,0.64794,0.74185,0.000812,0.000812,0.000812
62,347.953,0.36353,0.49411,0.30168,0.91909,0.94792,0.86957,0.86015,0.78846,0.94792,0.86957,0.85858,0.81104,0.51063,1.3844,0.64505,0.7125,0.0007922,0.0007922,0.0007922
63,354.09,0.37044,0.43824,0.309,0.92193,0.94729,0.86957,0.84614,0.75632,0.94729,0.86957,0.84614,0.78975,0.53363,1.48484,0.65126,0.72728,0.0007724,0.0007724,0.0007724
64,359.971,0.36682,0.45231,0.30648,0.93808,0.94876,0.86957,0.85202,0.75178,0.94876,0.86957,0.84992,0.78267,0.54006,1.45199,0.56571,0.75347,0.0007526,0.0007526,0.0007526
65,365.606,0.37836,0.43534,0.31919,0.93503,0.94781,0.86957,0.87945,0.7386,0.94781,0.86957,0.87817,0.78091,0.60816,1.67871,0.78022,0.82344,0.0007328,0.0007328,0.0007328
66,371.132,0.37392,0.4119,0.30282,0.93629,0.94611,0.86957,0.87052,0.75175,0.94611,0.86957,0.86896,0.7714,0.6154,1.89017,0.72221,0.8732,0.000713,0.000713,0.000713
67,376.873,0.35868,0.41833,0.2843,0.92786,0.9466,0.86957,0.8799,0.76545,0.9466,0.86957,0.87786,0.77921,0.58207,1.59484,0.60115,0.85227,0.0006932,0.0006932,0.0006932
68,382.396,0.3565,0.41694,0.29747,0.92894,0.93901,0.82609,0.81945,0.70326,0.93901,0.82609,0.8291,0.75054,0.56763,1.17647,0.68727,0.78651,0.0006734,0.0006734,0.0006734
69,388.123,0.37929,0.40263,0.31948,0.93535,0.93824,0.82609,0.8356,0.72847,0.93824,0.82609,0.8356,0.75264,0.59783,1.32217,0.69245,0.74893,0.0006536,0.0006536,0.0006536
70,393.736,0.36667,0.38948,0.29725,0.92866,0.90902,0.8689,0.82793,0.72407,0.90902,0.8689,0.82793,0.76407,0.64758,1.36885,0.72033,0.87608,0.0006338,0.0006338,0.0006338
71,399.229,0.37684,0.42096,0.30194,0.92676,0.90807,0.86957,0.84268,0.74967,0.90807,0.86957,0.84268,0.76519,0.76305,1.73845,0.86841,0.95864,0.000614,0.000614,0.000614
72,404.766,0.33659,0.39426,0.27842,0.93711,0.91078,0.88814,0.88084,0.76459,0.91078,0.88814,0.88084,0.77244,0.59674,1.85726,0.69487,0.82788,0.0005942,0.0005942,0.0005942
73,410.338,0.33606,0.40181,0.28043,0.91896,0.95423,0.90678,0.88848,0.77859,0.95423,0.90678,0.88848,0.78517,0.5542,1.57129,0.68325,0.72927,0.0005744,0.0005744,0.0005744
74,415.869,0.35079,0.39784,0.28501,0.91636,0.9542,0.90609,0.89797,0.81428,0.9542,0.90609,0.89644,0.79967,0.52781,1.41401,0.65218,0.67827,0.0005546,0.0005546,0.0005546
75,421.492,0.35906,0.43522,0.28678,0.92683,0.98552,0.86957,0.9107,0.82755,0.98552,0.86957,0.90845,0.81605,0.50778,1.51818,0.53807,0.66763,0.0005348,0.0005348,0.0005348
76,427.028,0.34474,0.39523,0.27704,0.92875,0.94618,0.91304,0.90592,0.81381,0.94618,0.91304,0.90436,0.82644,0.51222,1.43643,0.59264,0.67021,0.000515,0.000515,0.000515
